Province,Basin,Section_name,Monitoring_time,Water_quality_class,Water_temperature(°C),pH,Dissolved_oxygen(mg/L),Electrical_conductivity(μS/cm),Turbidity(NTU),COD_Mn(mg/L),NH3-N(mg/L),TP(mg/L),TN(mg/L),Chlorophyll_a(mg/L),Algae_density(cells/L)
河南省,Huai River Basin,白龟山水库,09-14 12:00,2,27.3,8,6.0,394.9,5.0,3.6,0.02,0.028,0.73,0.013,4249790
河南省,Huai River Basin,昭平台水库,09-14 12:00,1,28.6,8,7.3,244.5,8.1,3.4,0.02,0.020,0.43,0.019,2292963
河南省,Yangtze River Basin,五龙泉,09-14 12:00,1,30.3,8,7.6,256.4,3.0,1.8,0.02,0.014,0.79,0.006,904733
河南省,Yangtze River Basin,宋岗,09-14 12:00,1,29.0,8,7.4,289.1,2.9,2.1,0.02,0.009,0.76,0.003,1149360
河南省,Yangtze River Basin,陶岔,09-14 12:00,0,29.8,8,7.6,262.6,1.8,1.6,0.02,0.005,0.88,0.002,863298
河南省,Huai River Basin,饮用水源地取水口,09-14 12:00,2,27.6,8,5.4,159.1,4.1,3.6,0.02,0.012,0.45,0.028,1204000
河南省,Huai River Basin,鲇鱼山水库大坝北,09-14 12:00,1,27.4,7,6.1,93.0,1.6,3.5,0.08,0.012,0.42,0.009,1265884
湖北省,Yangtze River Basin,江夏湖心,09-14 12:00,4,29.3,9,6.6,188.1,292.3,11.9,0.02,0.093,1.22,0.017,148954400
湖北省,Yangtze River Basin,西梁子湖湖心（南北嘴）,09-14 12:00,3,31.2,8,8.5,165.6,24.9,6.5,0.02,0.042,0.96,0.003,80061600
湖北省,Yangtze River Basin,牛山湖湖心,09-14 12:00,3,31.4,8,6.8,195.3,20.3,6.5,0.04,0.041,0.43,0.004,39596810
湖北省,Yangtze River Basin,西梁子湖湖北,09-14 12:00,3,30.2,8,8.3,161.3,30.7,7.1,0.02,0.053,1.07,0.007,60988170
湖北省,Yangtze River Basin,西梁子湖湖南,09-14 12:00,3,28.4,9,9.6,159.2,22.7,6.4,0.02,0.047,0.91,0.002,101870700
湖北省,Yangtze River Basin,丹江口水库坝上中,09-14 12:00,0,28.5,9,9.1,245.1,2.8,1.1,0.12,0.010,0.72,0.094,13832000
湖北省,Yangtze River Basin,隔河岩水库坝上,09-14 12:00,1,22.8,9,7.2,167.7,1.8,0.7,0.02,0.010,1.55,0,3023602
湖北省,Yangtze River Basin,梁子岛水源(七星),09-14 12:00,3,30.1,9,10.1,165.7,31.3,6.7,0.09,0.071,1.10,0.020,180891000
湖北省,Yangtze River Basin,漳河水库库心,09-14 12:00,0,29.0,8,7.9,304.1,1.4,1.5,0.02,0.005,0.54,0.001,7781092
湖北省,Yangtze River Basin,湖心A(洪湖湖心A),09-14 12:00,4,29.2,8,6.6,339.4,150.2,6.3,0.02,0.108,1.15,0.006,121211300
湖北省,Yangtze River Basin,排水闸,09-14 12:00,4,26.7,8,5.0,344.8,150.1,6.0,0.02,0.118,1.67,0.017,74167350
湖北省,Yangtze River Basin,湖心B(洪湖湖心B),09-14 12:00,3,30.5,8,6.1,350.4,125.7,5.1,0.19,0.097,1.34,0.007,67981
湖北省,Yangtze River Basin,白莲河水库坝上,09-14 12:00,3,30.8,8,6.8,94.6,5.7,2.9,0.02,0.053,0.45,0.011,19364230
湖北省,Yangtze River Basin,咸宁湖心,09-14 12:00,3,29.5,9,6.7,173.0,47.0,7.8,0.03,0.091,1.42,0.005,237870400
湖北省,Yangtze River Basin,富水水库,09-14 12:00,1,32.2,9,8.1,160.3,6.8,3.2,0.02,0.010,0.43,0.015,29818000
湖南省,Yangtze River Basin,蒋家嘴,09-14 12:00,3,27.8,8,4.9,200.3,33.4,0.8,0.08,0.029,0.66,0.007,23910000
湖南省,Yangtze River Basin,万家嘴,09-14 12:00,3,32.1,7,4.9,253.4,20.2,1.3,0.02,0.058,1.53,0.002,469619
湖南省,Yangtze River Basin,万子湖,09-14 12:00,3,29.5,8,6.3,212.0,77.4,1.2,0.02,0.074,1.46,0.004,9233990
湖南省,Yangtze River Basin,南嘴,09-14 12:00,3,30.3,8,5.5,331.4,141.4,1.6,0.02,0.051,1.50,0.006,1005365
湖南省,Yangtze River Basin,小河嘴,09-14 12:00,2,28.8,7,5.7,226.0,38.7,1.5,0.03,0.043,1.36,0.002,51767000
湖南省,Yangtze River Basin,大通湖,09-14 12:00,4,26.8,8,8.3,313.5,79.7,4.0,0.02,0.132,1.22,0.006,23752300
湖南省,Yangtze River Basin,头山,09-14 12:00,0,29.5,8,7.5,104.2,1.8,1.0,0.02,0.005,0.48,0.007,1239000
广东省,Pearl River Basin,良德水库,09-14 12:00,0,31.7,8,7.6,65.4,4.0,1.6,0.02,0.008,0.17,0.004,1638640
广西壮族自治区,Pearl River Basin,龙岩滩水库,09-14 08:00,1,30.3,8,13.8,253.6,32.8,1.8,0.02,0.021,1.75,0.003,1911949
海南省,Pearl River Basin,大隆水库出口,09-14 08:00,1,28.3,8,6.8,116.1,2.0,1.8,0.02,0.011,0.38,0.010,4887220.00
海南省,Pearl River Basin,松涛水库南丰库心,09-14 12:00,0,28.9,8,7.7,86.8,1.2,1.3,0.02,0.007,0.18,0.003,18251130
海南省,Pearl River Basin,大广坝水库库心,09-14 08:00,5,26.1,7,7.3,57.3,137.9,4.4,0.02,0.241,2.28,0.007,8962190
重庆市,Yangtze River Basin,玉滩水库,09-14 12:00,2,32.8,9,25.5,300.0,10.9,5.5,0.02,0.019,0.77,0.056,6607694
四川省,Yangtze River Basin,鲁班岛,09-14 12:00,1,30.3,9,8.3,228.5,8.8,2.3,0.02,0.005,0.34,0.002,7139553
四川省,Yangtze River Basin,邛海湖心,09-14 12:00,1,27.6,8,6.3,307.0,1.3,2.2,0.02,0.013,0.11,0.001,26877
贵州省,Yangtze River Basin,贵铝泵房,09-14 12:00,1,28.6,9,8.6,367.3,24.8,3.4,0.02,0.020,1.57,0.026,1992144
贵州省,Yangtze River Basin,花鱼洞,09-14 12:00,5,26.3,7,0.9,331.5,5.5,2.4,0.02,0.018,1.15,0.004,2530613
云南省,Pearl River Basin,阳宗海中,09-14 12:00,1,24.4,8,6.4,419.6,1.8,3.4,0.02,0.023,0.44,0.003,884819
云南省,Dianchi Lake Basin,草海中心,09-14 12:00,3,23.4,8,12.2,415.4,40.5,8.1,0.02,0.077,2.85,0.022,58527700
云南省,Dianchi Lake Basin,灰湾中,09-14 12:00,3,24.0,8,8.2,515.8,20.5,6.6,0.38,0.067,1.04,0.007,28297210
云南省,Dianchi Lake Basin,罗家营,09-14 12:00,3,25.1,9,10.4,501.9,16.1,8.2,0.06,0.036,1.34,0.006,69689900
云南省,Dianchi Lake Basin,观音山东,09-14 08:00,3,22.1,9,9.5,532.6,14.5,6.9,0.08,0.066,1.20,0.007,126726100
云南省,Dianchi Lake Basin,观音山中,09-14 08:00,3,21.9,8,4.6,515.3,13.4,6.6,0.38,0.060,1.52,0.009,99232900
云南省,Dianchi Lake Basin,观音山西,09-14 12:00,3,25.2,8,7.2,530.6,12.6,7.3,0.21,0.052,1.52,0.004,93611400
云南省,Dianchi Lake Basin,海口西,09-14 12:00,3,25.1,9,16.0,493.1,23.3,9.0,0.02,0.054,1.07,0.021,85102100
云南省,Dianchi Lake Basin,滇池南,09-14 12:00,3,24.0,8,8.0,512.1,25.8,7.2,0.02,0.034,1.29,0.005,31873200
云南省,Dianchi Lake Basin,白鱼口,09-14 12:00,3,24.0,8,6.9,535.1,20.4,7.3,0.31,0.054,1.10,0.006,54378120
云南省,Dianchi Lake Basin,断桥,09-14 12:00,3,23.3,9,13.6,510.6,16.2,4.4,0.02,0.058,4.82,0.011,32582120
云南省,Pearl River Basin,抚仙湖心,09-14 12:00,0,24.8,9,8.0,333.9,0.8,1.2,0.02,0.009,0.13,0.0005,351216
云南省,Pearl River Basin,杞麓湖心,09-14 12:00,3,22.4,9,11.7,830.0,41.8,5.7,0.02,0.073,3.24,0.007,97316330
云南省,Pearl River Basin,星云湖心,09-14 12:00,4,24.3,9,10.3,630.5,23.3,7.9,0.02,0.125,1.30,0.006,40748310
云南省,Yangtze River Basin,程海湖中,09-14 12:00,2,26.6,9,5.9,1366.4,2.6,5.3,0.02,0.016,0.82,0.001,21998
云南省,Yangtze River Basin,泸沽湖湖心(泸沽湖),09-14 12:00,0,21.1,9,8.0,209.0,2.2,1.0,0.02,0.010,0.15,0.003,862129
云南省,Pearl River Basin,异龙湖中,09-14 12:00,4,24.6,9,7.7,536.6,10.5,11.4,0.02,0.044,1.61,0.012,40323300
云南省,Southwest Rivers,洱海湖心,09-14 12:00,2,24.9,9,6.5,269.2,4.2,3.9,0.02,0.039,0.50,0.003,17690600
陕西省,Yangtze River Basin,石门水库,09-14 12:00,2,28.3,8,5.6,283.5,6.0,1.3,0.02,0.012,0.54,0.014,2500000
陕西省,Yangtze River Basin,瀛湖坝前,09-14 12:00,1,30.8,9,11.0,210.4,10.9,2.2,0.02,0.017,0.76,0.009,1775537
甘肃省,Northwest Rivers,红崖山水库,09-14 12:00,2,16.9,8,6.5,444.9,75.3,2.8,0.14,0.039,1.98,0.006,4543194
甘肃省,Northwest Rivers,解放村水库,09-14 12:00,1,17.7,9,10.0,498.4,46.6,0.8,0.06,0.013,1.21,0.004,44557
青海省,Yellow River Basin,龙羊峡库区出水口,09-14 12:00,1,16.1,8,6.4,463.2,5.3,2.1,0.02,0.005,0.60,0.004,188367
宁夏回族自治区,Yellow River Basin,鸭子荡水库,09-14 12:00,1,18.1,8,7.2,752.5,7.1,2.0,0.08,0.010,1.05,0.003,1205898
宁夏回族自治区,Yellow River Basin,沙湖,09-14 12:00,2,20.6,9,9.7,1640.8,18.6,5.3,0.02,0.024,0.38,0.036,8647160
宁夏回族自治区,Yellow River Basin,香山湖,09-14 12:00,1,20.3,9,7.6,644.6,9.8,2.1,0.10,0.005,1.06,0.004,1838096
新疆维吾尔自治区,Northwest Rivers,赛湖2,09-14 12:00,0,13.7,9,8.6,2936.2,6.6,0.8,0.13,0.005,0.36,0.009,21065
新疆维吾尔自治区,Northwest Rivers,博湖5,09-14 12:00,2,22.3,9,7.9,1344.2,1.7,4.9,0.02,0.008,0.32,0.001,993104
新疆维吾尔自治区,Northwest Rivers,博湖7,09-14 12:00,2,21.1,8,8.7,942.4,1.4,5.3,0.02,0.011,0.41,0.003,2585531
新疆维吾尔自治区,Northwest Rivers,博湖14,09-14 12:00,2,21.9,9,7.4,1336.8,4.1,4.9,0.03,0.011,0.45,0.002,574040
新疆维吾尔自治区,Northwest Rivers,乌伦古湖码头,09-14 12:00,1,20.0,8,9.6,0,10.3,3.7,0.04,0.022,0.70,0.008,493034
天津市,Hai River Basin,于桥水库库中心,09-15 00:00,2,23.9,9,6.5,468.6,5.3,5.2,0.02,0.024,1.94,0.018,10881000
河北省,Hai River Basin,姜各庄,09-15 00:00,1,20.2,8,7.8,492.5,35.4,2.5,0.02,0.083,4.42,0.048,5270213
河北省,Hai River Basin,衡水湖大湖心,09-15 00:00,2,25.0,9,5.1,1205.8,50.3,4.9,0.03,0.042,0.51,0.008,19785600
河北省,Hai River Basin,南刘庄,09-15 00:00,4,24.2,7,2.2,552.3,18.0,4.8,0.17,0.054,2.09,0.006,4451497
河北省,Hai River Basin,烧车淀,09-15 00:00,3,23.9,8,4.9,610.9,7.1,2.1,0.02,0.037,3.64,0.002,873658
河北省,Hai River Basin,圈头,09-15 00:00,3,24.3,8,4.1,653.9,1.8,5.2,0.02,0.027,0.35,0.003,3156090
河北省,Hai River Basin,采蒲台,09-15 00:00,3,24.2,8,4.1,809.9,7.9,5.8,0.02,0.031,0.64,0.004,10515900
河北省,Hai River Basin,光淀张庄,09-15 00:00,3,24.3,8,3.9,542.9,9.0,3.5,0.02,0.021,3.22,0.003,1189637
山西省,Yellow River Basin,汾河水库出口,09-15 00:00,2,21.5,8,5.7,648.6,9.6,2.3,0.02,0.005,1.09,0.010,421275
内蒙古自治区,Songhua River Basin,小河口,09-15 00:00,4,15.5,9,8.6,1238.4,72.0,14.5,0.37,0.176,1.60,0.029,34919000
内蒙古自治区,Songhua River Basin,出口(察尔森水库),09-15 00:00,2,19.3,7,7.8,170.9,91.2,4.8,0.02,0.037,1.81,0.011,1861850
吉林省,Songhua River Basin,沙石浒,09-15 00:00,2,21.4,7,6.4,126.4,38.9,5.0,0.02,0.050,2.80,0.003,8050657
吉林省,Songhua River Basin,小荒地,09-15 00:00,3,20.9,7,6.4,110.1,78.7,5.0,0.02,0.084,3.03,0.007,85179720
黑龙江省,Songhua River Basin,磨盘山水库出口,09-15 00:00,2,19.8,7,7.8,67.6,4.7,5.6,0.02,0.034,1.69,0.004,1540100
黑龙江省,Songhua River Basin,档壁镇,09-14 20:00,3,11.0,7,8.8,136.0,36.1,7.4,0.02,0.045,1.80,0.030,14080
黑龙江省,Songhua River Basin,三道,09-15 00:00,4,21.5,7,5.8,107.0,135.7,5.6,0.08,0.132,3.66,0.032,21760
黑龙江省,Songhua River Basin,电视塔,09-15 00:00,3,21.7,6,5.6,85.8,39.6,6.9,0.02,0.086,1.99,0.019,75776
上海市,Lake Tai Basin,急水港桥,09-15 00:00,2,30.6,7,5.4,732.0,52.8,4.3,0.10,0.102,1.15,0.007,15906000
江苏省,Yangtze River Basin,石臼湖省界湖心,09-15 00:00,3,30.2,9,7.8,187.1,53.1,7.8,0.02,0.074,0.50,0.017,146720400
江苏省,Lake Tai Basin,锡东水厂,09-14 20:00,3,31.5,9,9.0,271.4,60.4,3.8,0.02,0.077,1.06,0.007,22524850
江苏省,Lake Tai Basin,兰山嘴,09-15 00:00,3,30.8,7,6.7,269.2,21.9,3.3,0.06,0.078,0.42,0.008,6801843
江苏省,Lake Tai Basin,拖山,09-15 00:00,3,30.3,8,7.9,349.4,27.1,4.8,0.02,0.095,0.50,0.026,5358106
江苏省,Lake Tai Basin,五里湖心,09-15 00:00,3,29.4,7,7.2,336.0,18.0,6.0,0.08,0.073,0.42,0.006,10574800
江苏省,Lake Tai Basin,胥湖心,09-15 00:00,1,31.1,9,8.8,366.6,6.4,2.1,0.02,0.011,0.33,0.002,1881490
江苏省,Lake Tai Basin,乌龟山南,09-15 00:00,2,30.5,9,7.9,426.8,17.2,2.6,0.02,0.028,0.23,0.005,8829990
江苏省,Lake Tai Basin,阳澄湖心,09-15 00:00,2,30.4,8,10.7,319.9,9.0,4.2,0.03,0.025,0.61,0.007,5173730
江苏省,Huai River Basin,老山乡,09-15 00:00,3,29.9,8,7.3,523.4,111.7,3.7,0.02,0.074,1.69,0.018,18109600
江苏省,Huai River Basin,蒋坝镇,09-15 00:00,3,29.8,8,9.4,471.9,49.4,6.6,0.02,0.022,0.55,0.005,19569300
江苏省,Huai River Basin,高良涧镇,09-15 00:00,4,29.5,8,7.4,464.3,120.0,5.6,0.02,0.103,0.38,0.033,15275000
江苏省,Huai River Basin,洪金,09-15 00:00,3,28.9,7,5.3,449.2,25.6,8.6,0.02,0.076,1.39,0.030,19713300
江苏省,Huai River Basin,临淮乡,09-15 00:00,4,29.1,8,5.1,610.2,127.4,6.0,0.13,0.111,1.38,0.003,19277020
江苏省,Huai River Basin,成河乡中,09-15 00:00,4,28.7,8,7.6,476.7,113.1,5.2,0.02,0.131,1.16,0.029,23924660
江苏省,Huai River Basin,龙集镇北,09-15 00:00,3,29.7,9,8.4,571.8,89.7,3.8,0.02,0.072,0.32,0.020,19414040
江苏省,Huai River Basin,骆马湖乡,09-15 00:00,3,25.6,8,9.1,533.4,0,5.8,0.02,0.055,1.39,0.012,21060700
江苏省,Huai River Basin,三场,09-15 00:00,3,27.5,8,6.5,412.0,51.0,5.7,0.02,0.061,0.78,0.0004,17914110
浙江省,Zhejiang-Fujian Rivers,北湖中心,09-14 20:00,2,29.5,7,5.3,93.4,20.2,3.9,0.03,0.039,0.89,0.013,495812
浙江省,Zhejiang-Fujian Rivers,铜山源水库,09-14 20:00,1,30.8,9,8.0,81.3,5.9,1.3,0.02,0.019,0.19,0.025,9571000
浙江省,Zhejiang-Fujian Rivers,里石门水库,09-15 00:00,1,29.0,8,6.5,68.5,4.9,2.1,0.02,0.008,0.33,0.014,4859895
安徽省,Chao Lake Basin,湖滨,09-15 00:00,4,29.5,9,6.3,297.2,80.8,5.8,0.02,0.175,1.96,0.011,28551960
安徽省,Chao Lake Basin,黄麓,09-15 00:00,3,28.9,9,7.7,286.4,76.1,5.9,0.02,0.059,0.62,0.019,101559100
安徽省,Chao Lake Basin,靠近大坝,09-15 00:00,2,29.4,9,8.7,114.9,6.3,4.0,0.02,0.026,0.25,0.026,16082850
安徽省,Chao Lake Basin,新河入湖区,09-15 00:00,4,27.6,9,8.1,362.0,43.2,6.6,0.02,0.163,1.11,0.009,91224220
安徽省,Chao Lake Basin,西半湖湖心,09-15 00:00,5,28.5,9,7.1,308.6,84.5,11.7,0.02,0.266,0.91,0.009,28444680
安徽省,Chao Lake Basin,龟山,09-15 00:00,3,29.7,9,7.4,267.7,58.1,5.2,0.02,0.075,1.35,0.009,36845400
安徽省,Chao Lake Basin,东半湖湖心,09-15 00:00,3,29.0,9,6.8,281.6,34.2,5.4,0.02,0.056,0.69,0.013,26748840
安徽省,Chao Lake Basin,兆河入湖区,09-15 00:00,4,28.6,8,6.9,252.9,29.8,5.6,0.02,0.108,0.82,0.031,127445100
安徽省,Huai River Basin,焦岗湖,09-15 00:00,3,27.8,8,8.5,808.0,67.5,7.3,0.09,0.051,0.67,0.029,23060760
安徽省,Yangtze River Basin,龙感湖湖心（皖）,09-15 00:00,3,25.9,9,8.2,187.0,68.5,6.2,0.02,0.086,0.35,0.025,41759460
安徽省,Yangtze River Basin,武昌湖,09-14 20:00,3,30.6,9,7.0,135.6,13.8,4.4,0.03,0.059,0.91,0.006,5576105
安徽省,Yangtze River Basin,花亭湖坝前,09-13 20:00,1,31.3,8,7.6,115.3,1.3,2.1,0.02,0.014,0.45,0.005,430806
安徽省,Yangtze River Basin,大官湖,09-15 00:00,3,27.1,8,8.7,225.2,40.3,5.6,0.02,0.055,0.53,0.012,25417920
安徽省,Yangtze River Basin,黄湖,09-15 00:00,3,28.0,9,8.2,261.6,38.4,5.9,0.06,0.064,0.38,0.015,31916580
安徽省,Yangtze River Basin,太平湖湖心,09-15 00:00,1,30.5,9,7.3,92.5,4.9,2.2,0.11,0.007,0.08,0.004,12651410
安徽省,Yangtze River Basin,南漪湖西湖湖心,09-15 00:00,3,30.3,8,5.2,162.4,29.4,7.0,0.02,0.067,1.51,0.017,149291200
福建省,Zhejiang-Fujian Rivers,山美水库库心,09-15 00:00,0,31.7,9,10.7,119.2,4.7,2.0,0.02,0.008,1.02,0.026,12758600
江西省,Yangtze River Basin,南矶山,09-15 00:00,4,30.2,7,3.2,206.6,187.9,11.4,0.80,0.186,1.16,0.03,52205150
